C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
global_step=272, episodic_return=0.760937511920929
SPS:  115
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4
global_step=8184, episodic_return=0.876953125
SPS:  335
global_step=8200, episodic_return=0.947265625
global_step=8216, episodic_return=0.940234363079071
global_step=8244, episodic_return=0.729296863079071
global_step=8276, episodic_return=0.9332031011581421
global_step=8292, episodic_return=0.9332031011581421
global_step=8296, episodic_return=0.901562511920929
global_step=8324, episodic_return=0.9296875
global_step=8356, episodic_return=0.9296875
global_step=8392, episodic_return=0.9156249761581421
global_step=8396, episodic_return=0.936718761920929
global_step=8404, episodic_return=0.901562511920929
global_step=8444, episodic_return=0.922656238079071
global_step=8452, episodic_return=0.9507812261581421
global_step=8476, episodic_return=0.936718761920929
global_step=8496, episodic_return=0.954296886920929
global_step=8524, episodic_return=0.936718761920929
global_step=8596, episodic_return=0.936718761920929
global_step=8608, episodic_return=0.901562511920929
global_step=8640, episodic_return=0.8558593988418579
global_step=8660, episodic_return=0.954296886920929
global_step=8692, episodic_return=0.736328125
SPS:  332
global_step=8724, episodic_return=0.9261718988418579
global_step=8732, episodic_return=0.8804687261581421
global_step=8736, episodic_return=0.9332031011581421
global_step=8796, episodic_return=0.936718761920929
global_step=8824, episodic_return=0.922656238079071
global_step=8852, episodic_return=0.89453125
global_step=8892, episodic_return=0.9156249761581421
global_step=8932, episodic_return=0.9296875
global_step=8984, episodic_return=0.859375
global_step=9012, episodic_return=0.89453125
global_step=9016, episodic_return=0.9261718988418579
global_step=9044, episodic_return=0.690625011920929
global_step=9068, episodic_return=0.9507812261581421
global_step=9088, episodic_return=0.9085937738418579
global_step=9092, episodic_return=0.9332031011581421
global_step=9120, episodic_return=0.9332031011581421
global_step=9180, episodic_return=0.947265625
global_step=9200, episodic_return=0.905078113079071
SPS:  335
global_step=9288, episodic_return=0.905078113079071
global_step=9292, episodic_return=0.919140636920929
global_step=9324, episodic_return=0.7925781011581421
global_step=9360, episodic_return=0.936718761920929
global_step=9364, episodic_return=0.936718761920929
global_step=9420, episodic_return=0.9507812261581421
global_step=9432, episodic_return=0.936718761920929
global_step=9500, episodic_return=0.8453124761581421
global_step=9544, episodic_return=0.5816406011581421
global_step=9556, episodic_return=0.9507812261581421
global_step=9620, episodic_return=0.9437500238418579
global_step=9624, episodic_return=0.8207031488418579
global_step=9628, episodic_return=0.9261718988418579
global_step=9712, episodic_return=0.9261718988418579
global_step=9720, episodic_return=0.9156249761581421
global_step=9724, episodic_return=0.9085937738418579
SPS:  338
global_step=9740, episodic_return=0.729296863079071
global_step=9816, episodic_return=0.9156249761581421
global_step=9916, episodic_return=0.912109375
global_step=9940, episodic_return=0.799609363079071
global_step=9976, episodic_return=0.778515636920929
global_step=10036, episodic_return=0.9156249761581421
global_step=10064, episodic_return=0.869921863079071
global_step=10112, episodic_return=0.9332031011581421
global_step=10136, episodic_return=0.936718761920929
global_step=10212, episodic_return=0.585156261920929
global_step=10216, episodic_return=0.9085937738418579
SPS:  341
global_step=10288, episodic_return=0.9332031011581421
global_step=10304, episodic_return=0.922656238079071
global_step=10316, episodic_return=0.9085937738418579
global_step=10372, episodic_return=0.9261718988418579
global_step=10416, episodic_return=0.912109375
global_step=10436, episodic_return=0.736328125
global_step=10456, episodic_return=0.9261718988418579
global_step=10524, episodic_return=0.922656238079071
global_step=10576, episodic_return=0.876953125
global_step=10588, episodic_return=0.9437500238418579
global_step=10652, episodic_return=0.8277343511581421
global_step=10684, episodic_return=0.9156249761581421
global_step=10732, episodic_return=0.9296875
global_step=10752, episodic_return=0.940234363079071
SPS:  343
global_step=10756, episodic_return=0.841796875
global_step=10852, episodic_return=0.912109375
global_step=10952, episodic_return=0.912109375
global_step=10992, episodic_return=0.4937500059604645
global_step=11016, episodic_return=0.9437500238418579
global_step=11036, episodic_return=0.75390625
global_step=11168, episodic_return=0.6167968511581421
global_step=11172, episodic_return=0.8628906011581421
global_step=11184, episodic_return=0.869921863079071
global_step=11240, episodic_return=0.782031238079071
SPS:  345
global_step=11372, episodic_return=0.834765613079071
global_step=11484, episodic_return=0.7222656011581421
global_step=11572, episodic_return=0.922656238079071
global_step=11620, episodic_return=0.666015625
global_step=11640, episodic_return=0.940234363079071
SPS:  344
global_step=11864, episodic_return=0.8031250238418579
global_step=12008, episodic_return=0.658984363079071
global_step=12088, episodic_return=0.9296875
global_step=12176, episodic_return=0.725781261920929
global_step=12196, episodic_return=0.0
SPS:  346
global_step=12364, episodic_return=0.7574218511581421
SPS:  348
global_step=12980, episodic_return=0.2933593690395355
global_step=13112, episodic_return=0.0
global_step=13220, episodic_return=0.0
global_step=13296, episodic_return=0.7222656011581421
SPS:  351
global_step=13344, episodic_return=0.8910156488418579
global_step=13388, episodic_return=0.0
global_step=13552, episodic_return=0.7749999761581421
global_step=13824, episodic_return=0.6167968511581421
SPS:  352
global_step=14136, episodic_return=0.0
global_step=14196, episodic_return=0.673046886920929
SPS:  354
global_step=14368, episodic_return=0.0
global_step=14460, episodic_return=0.7152343988418579
global_step=14576, episodic_return=0.0
SPS:  357
global_step=14980, episodic_return=0.3109374940395355
global_step=15316, episodic_return=0.349609375
SPS:  358
global_step=15392, episodic_return=0.0
global_step=15484, episodic_return=0.0
SPS:  357
global_step=15956, episodic_return=0.5042968988418579
global_step=16004, episodic_return=0.0
global_step=16180, episodic_return=0.24062499403953552
SPS:  358
global_step=16508, episodic_return=0.0
SPS:  360
global_step=16980, episodic_return=0.0
global_step=17028, episodic_return=0.0
global_step=17204, episodic_return=0.0
SPS:  360
global_step=17532, episodic_return=0.0
SPS:  362
global_step=18004, episodic_return=0.0
global_step=18052, episodic_return=0.0
global_step=18228, episodic_return=0.0
SPS:  362
global_step=18556, episodic_return=0.0
SPS:  364
global_step=19004, episodic_return=0.606249988079071
global_step=19028, episodic_return=0.0
global_step=19076, episodic_return=0.0
global_step=19252, episodic_return=0.0
SPS:  366
global_step=19620, episodic_return=0.47968751192092896
SPS:  365
global_step=20028, episodic_return=0.0
global_step=20100, episodic_return=0.0
global_step=20104, episodic_return=0.5746093988418579
global_step=20276, episodic_return=0.0
SPS:  367
SPS:  367
global_step=21052, episodic_return=0.0
global_step=21124, episodic_return=0.0
global_step=21128, episodic_return=0.0
global_step=21300, episodic_return=0.0
SPS:  367
SPS:  361
global_step=22076, episodic_return=0.0
global_step=22148, episodic_return=0.0
global_step=22152, episodic_return=0.0
global_step=22196, episodic_return=0.21250000596046448
SPS:  357
global_step=22828, episodic_return=0.33906251192092896
global_step=22952, episodic_return=0.2933593690395355
SPS:  352
global_step=23176, episodic_return=0.0
global_step=23220, episodic_return=0.0
SPS:  347
global_step=23852, episodic_return=0.0
global_step=23976, episodic_return=0.0
SPS:  345
global_step=24200, episodic_return=0.0
global_step=24244, episodic_return=0.0
SPS:  345
