,0,1,2,3,4,5
0,0.0,0.19106564,0.47539604,0.7373871,0.80004,0.9637387
1,0.9166667,0.8681613,0.00062151236,0.0,0.80004,0.113224685
2,0.9166667,0.8353168,0.0028053354,0.8686936,0.60008,0.9820415
3,1.0,0.8105667,0.007858011,0.81430465,0.40012,0.9761929
4,0.9166667,0.8550927,0.0007250243,0.81430465,0.80004,0.980159
5,0.9166667,0.8416636,0.001877844,0.8686936,1.0,0.98499227
6,1.0,0.79059005,0.024621926,0.0,1.0,0.8995626
7,0.0,0.6461395,0.3441145,0.0,0.80004,0.8957704
8,0.0,0.52072495,0.3362016,0.6060807,0.20015997,0.95942426
9,0.8333333,0.90713537,1.6875543e-05,0.81430465,0.00019996,0.9803288
10,0.9166667,0.8928183,4.360339e-05,0.0,0.00019996,0.1835736
11,0.0,0.2240649,0.47369346,0.0,1.0,0.87695444
12,0.0,0.072625756,0.5073305,0.0,1.0,0.9042283
13,0.0,0.57976514,0.36593264,0.0,0.60008,0.9053769
14,0.0,0.7093731,0.058950406,0.0,0.60008,0.90274537
15,0.0,0.6351252,0.17091456,0.0,0.60008,0.8967755
16,0.0,0.6397498,0.12587562,0.0,0.60008,0.8995264
17,0.0,0.509283,0.40967774,0.0,0.80004,0.90193224
18,0.0,0.42331043,0.42028397,0.0,0.00019996,0.90387785
19,0.0,0.7308719,0.11377038,0.2343585,0.20015997,0.93031275
20,0.4166667,0.862566,0.0014174427,0.0,0.20015997,0.89055914
21,0.0,0.3943205,0.35433686,0.0,0.60008,0.88211167
22,0.0,0.35472313,0.42641035,0.0,0.60008,0.8981882
23,0.0,0.1503658,0.4822904,0.6286093,0.40012,0.96738833
24,0.75,0.809777,0.016922846,0.5847726,0.00019996,0.9658252
25,0.75,0.6884542,0.22568563,0.7373871,0.40012,0.9592104
26,0.9166667,0.8354638,0.009772575,0.5847726,0.60008,0.9715901
27,0.75,0.80975467,0.006863578,0.0,0.20015997,0.90089333
28,0.0,0.46869883,0.4256094,0.0,0.60008,0.8907989
